%time,field.transforms0.header.seq,field.transforms0.header.stamp,field.transforms0.header.frame_id,field.transforms0.child_frame_id,field.transforms0.transform.translation.x,field.transforms0.transform.translation.y,field.transforms0.transform.translation.z,field.transforms0.transform.rotation.x,field.transforms0.transform.rotation.y,field.transforms0.transform.rotation.z,field.transforms0.transform.rotation.w,field.transforms1.header.seq,field.transforms1.header.stamp,field.transforms1.header.frame_id,field.transforms1.child_frame_id,field.transforms1.transform.translation.x,field.transforms1.transform.translation.y,field.transforms1.transform.translation.z,field.transforms1.transform.rotation.x,field.transforms1.transform.rotation.y,field.transforms1.transform.rotation.z,field.transforms1.transform.rotation.w,field.transforms2.header.seq,field.transforms2.header.stamp,field.transforms2.header.frame_id,field.transforms2.child_frame_id,field.transforms2.transform.translation.x,field.transforms2.transform.translation.y,field.transforms2.transform.translation.z,field.transforms2.transform.rotation.x,field.transforms2.transform.rotation.y,field.transforms2.transform.rotation.z,field.transforms2.transform.rotation.w,field.transforms3.header.seq,field.transforms3.header.stamp,field.transforms3.header.frame_id,field.transforms3.child_frame_id,field.transforms3.transform.translation.x,field.transforms3.transform.translation.y,field.transforms3.transform.translation.z,field.transforms3.transform.rotation.x,field.transforms3.transform.rotation.y,field.transforms3.transform.rotation.z,field.transforms3.transform.rotation.w
1700935231016910534,0,1700935231015117359,trakstar_base,trakstar0,-0.50575517578125,0.08985498046875,0.00033486328125,-0.09059425436335514,0.567251894571628,0.6884919142250129,0.4427153184926222,0,1700935231015117359,trakstar_base,trakstar1,-0.481756640625,0.0631775390625,0.02221259765625,0.2204929124525665,0.5439069352027593,0.6597694899743461,0.4693104958292721,0,1700935231015117359,trakstar_base,trakstar2,-0.44704248046875,0.01149697265625,0.02411015625,0.3778617083935363,0.5441452776445852,0.6943132586862815,0.2811681791374197,0,1700935231015117359,trakstar_base,trakstar3,-0.386208984375,-0.067419140625,0.01752451171875,0.34475298166485263,0.7433430967979066,0.5150541181458971,0.25160619518812366
1700935231029437462,0,1700935231027613057,trakstar_base,trakstar0,-0.50575517578125,0.08985498046875,0.00033486328125,-0.09059153458155905,0.5672348647788724,0.6885933356334137,0.44257993646651145,0,1700935231027613057,trakstar_base,trakstar1,-0.481756640625,0.06306591796875,0.02221259765625,0.2202479644020139,0.5439050340415589,0.6597671838295363,0.46943094408300645,0,1700935231027613057,trakstar_base,trakstar2,-0.44704248046875,0.01149697265625,0.02411015625,0.3778617083935363,0.5441452776445852,0.6943132586862815,0.2811681791374197,0,1700935231027613057,trakstar_base,trakstar3,-0.386208984375,-0.067419140625,0.01752451171875,0.34475298166485263,0.7433430967979066,0.5150541181458971,0.25160619518812366
1700935231042127837,0,1700935231040113071,trakstar_base,trakstar0,-0.505866796875,0.08985498046875,0.00033486328125,-0.09071262160895872,0.5672285868037982,0.6885857145013822,0.4425750381325374,0,1700935231040113071,trakstar_base,trakstar1,-0.481756640625,0.06306591796875,0.0221009765625,0.22000300167019954,0.54390309236445,0.6597648285381565,0.46955135650587526,0,1700935231040113071,trakstar_base,trakstar2,-0.44704248046875,0.01160859375,0.02411015625,0.37775704499220575,0.544170377999438,0.6943452859956929,0.28118114887428897,0,1700935231040113071,trakstar_base,trakstar3,-0.386208984375,-0.067419140625,0.01752451171875,0.3448918389508385,0.7432571736398952,0.5150791747021549,0.25161843542572676
1700935231054296006,0,1700935231052613414,trakstar_base,trakstar0,-0.505866796875,0.08985498046875,0.00033486328125,-0.09071534496580043,0.567245616031102,0.6884842937579388,0.4427104183660732,0,1700935231052613414,trakstar_base,trakstar1,-0.48164501953125,0.0631775390625,0.0221009765625,0.21988881085878548,0.5438005350166742,0.6597885251975996,0.46969031392212535,0,1700935231052613414,trakstar_base,trakstar2,-0.446930859375,0.01160859375,0.02411015625,0.37774407430617485,0.5441516933363353,0.6943214449189453,0.2812935834523035,0,1700935231052613414,trakstar_base,trakstar3,-0.386208984375,-0.06730751953125,0.01752451171875,0.3448918389508385,0.7432571736398952,0.5150791747021549,0.25161843542572676
1700935231066907286,0,1700935231065113214,trakstar_base,trakstar0,-0.505866796875,0.08985498046875,0.00033486328125,-0.090836431544809,0.5672393292435252,0.6884766632811533,0.4427055118030611,0,1700935231065113214,trakstar_base,trakstar1,-0.48164501953125,0.0631775390625,0.0221009765625,0.2197474072645271,0.54375275108678,0.6597305493652803,0.4698932058673138,0,1700935231065113214,trakstar_base,trakstar2,-0.446930859375,0.01160859375,0.02411015625,0.37774407430617485,0.5441516933363353,0.6943214449189453,0.2812935834523035,0,1700935231065113214,trakstar_base,trakstar3,-0.386208984375,-0.06730751953125,0.01752451171875,0.3448918389508385,0.7432571736398952,0.5150791747021549,0.25161843542572676
1700935231079584409,0,1700935231077622967,trakstar_base,trakstar0,-0.505866796875,0.08985498046875,0.00033486328125,-0.09071044134240203,0.5672149535353966,0.6884470776982569,0.4428085743592087,0,1700935231077622967,trakstar_base,trakstar1,-0.4815333984375,0.06328916015625,0.0221009765625,0.2197524969667166,0.5437653452720863,0.6596237450617608,0.4700261740676992,0,1700935231077622967,trakstar_base,trakstar2,-0.446930859375,0.01160859375,0.02411015625,0.3777310993261489,0.5441330024876037,0.694297595949518,0.2814060064469208,0,1700935231077622967,trakstar_base,trakstar3,-0.386208984375,-0.06730751953125,0.01752451171875,0.3448918389508385,0.7432571736398952,0.5150791747021549,0.25161843542572676
1700935231091946517,0,1700935231090114546,trakstar_base,trakstar0,-0.505866796875,0.08985498046875,0.00033486328125,-0.09071044134240203,0.5672149535353966,0.6884470776982569,0.4428085743592087,0,1700935231090114546,trakstar_base,trakstar1,-0.4815333984375,0.06328916015625,0.02221259765625,0.21975758047144356,0.5437779241221165,0.6595169165037434,0.4701591346641828,0,1700935231090114546,trakstar_base,trakstar2,-0.446930859375,0.01172021484375,0.02411015625,0.3778677828575907,0.5441540252653576,0.6942023306391796,0.28141687867100046,0,1700935231090114546,trakstar_base,trakstar3,-0.386208984375,-0.06730751953125,0.01752451171875,0.3448918389508385,0.7432571736398952,0.5150791747021549,0.25161843542572676
1700935231104298630,0,1700935231102617899,trakstar_base,trakstar0,-0.505866796875,0.08985498046875,0.000446484375,-0.09058935717711834,0.5672212310578056,0.6884546969296096,0.4428134750423291,0,1700935231102617899,trakstar_base,trakstar1,-0.4815333984375,0.06328916015625,0.02221259765625,0.21976068249976682,0.5439076891869228,0.6594041367673559,0.4701657712814456,0,1700935231102617899,trakstar_base,trakstar2,-0.446930859375,0.01172021484375,0.02422177734375,0.3778296962745007,0.5442212555708317,0.6941323596177096,0.28151059114991883,0,1700935231102617899,trakstar_base,trakstar3,-0.386208984375,-0.06730751953125,0.01752451171875,0.3448918389508385,0.7432571736398952,0.5150791747021549,0.25161843542572676
1700935231116954259,0,1700935231115117649,trakstar_base,trakstar0,-0.505866796875,0.08985498046875,0.000446484375,-0.09058308375443784,0.5673040299283999,0.6884070206081874,0.4427828096729732,0,1700935231115117649,trakstar_base,trakstar1,-0.4815333984375,0.06328916015625,0.02221259765625,0.21964448482771085,0.5439222789924689,0.6594218246550673,0.4701783830303027,0,1700935231115117649,trakstar_base,trakstar2,-0.446930859375,0.01172021484375,0.02422177734375,0.37772503878797603,0.5442463551767281,0.6941643731572178,0.2815235744812775,0,1700935231115117649,trakstar_base,trakstar3,-0.386208984375,-0.06730751953125,0.01752451171875,0.3448918389508385,0.7432571736398952,0.5150791747021549,0.25161843542572676
1700935231129465519,0,1700935231127613408,trakstar_base,trakstar0,-0.505866796875,0.08985498046875,0.000446484375,-0.09058797992328185,0.567334693670473,0.68844423017168,0.44268465660622647,0,1700935231127613408,trakstar_base,trakstar1,-0.4815333984375,0.06328916015625,0.0221009765625,0.21964448482771085,0.5439222789924689,0.6594218246550673,0.4701783830303027,0,1700935231127613408,trakstar_base,trakstar2,-0.446930859375,0.01172021484375,0.02422177734375,0.37772503878797603,0.5442463551767281,0.6941643731572178,0.2815235744812775,0,1700935231127613408,trakstar_base,trakstar3,-0.386208984375,-0.06730751953125,0.01752451171875,0.3448918389508385,0.7432571736398952,0.5150791747021549,0.25161843542572676
