%time,field.transforms0.header.seq,field.transforms0.header.stamp,field.transforms0.header.frame_id,field.transforms0.child_frame_id,field.transforms0.transform.translation.x,field.transforms0.transform.translation.y,field.transforms0.transform.translation.z,field.transforms0.transform.rotation.x,field.transforms0.transform.rotation.y,field.transforms0.transform.rotation.z,field.transforms0.transform.rotation.w,field.transforms1.header.seq,field.transforms1.header.stamp,field.transforms1.header.frame_id,field.transforms1.child_frame_id,field.transforms1.transform.translation.x,field.transforms1.transform.translation.y,field.transforms1.transform.translation.z,field.transforms1.transform.rotation.x,field.transforms1.transform.rotation.y,field.transforms1.transform.rotation.z,field.transforms1.transform.rotation.w,field.transforms2.header.seq,field.transforms2.header.stamp,field.transforms2.header.frame_id,field.transforms2.child_frame_id,field.transforms2.transform.translation.x,field.transforms2.transform.translation.y,field.transforms2.transform.translation.z,field.transforms2.transform.rotation.x,field.transforms2.transform.rotation.y,field.transforms2.transform.rotation.z,field.transforms2.transform.rotation.w
1701966646128658403,0,1701966646127448327,trakstar_base,trakstar0,-0.26911845703125,-0.0082599609375,0.06998642578125,-0.35681359970742577,-0.09826717337135744,0.49109172481114405,0.7885788074272907,0,1701966646127448327,trakstar_base,trakstar1,-0.303609375,-0.070991015625,0.06953994140625,0.5000459205282387,0.21278809557634773,0.4425455229284339,0.7133223421988523,0,1701966646127448327,trakstar_base,trakstar2,-0.0564802734375,0.20091796875,0.0363884765625,-0.45011735807279113,0.11780939803098547,-0.26809268194408714,0.8435885392685074
1701966646140945540,0,1701966646139948501,trakstar_base,trakstar0,-0.267890625,-0.00814833984375,0.070098046875,-0.3586497181772156,-0.09741404870844725,0.4895116983970846,0.7888340636014863,0,1701966646139948501,trakstar_base,trakstar1,-0.30260478515625,-0.07087939453125,0.06953994140625,0.5005480704112754,0.21023018957273568,0.4431681696568121,0.7133420427836786,0,1701966646139948501,trakstar_base,trakstar2,-0.0564802734375,0.20091796875,0.0363884765625,-0.45011735807279113,0.11780939803098547,-0.26809268194408714,0.8435885392685074
1701966646153609065,0,1701966646152450462,trakstar_base,trakstar0,-0.266551171875,-0.00803671875,0.07020966796875,-0.36035516827860686,-0.09704686950592563,0.4875537066750528,0.7893145386481952,0,1701966646152450462,trakstar_base,trakstar1,-0.30148857421874997,-0.07054453125,0.06953994140625,0.5010207395318049,0.20717158747209377,0.443520552319456,0.7136859754636773,0,1701966646152450462,trakstar_base,trakstar2,-0.0564802734375,0.20091796875,0.0363884765625,-0.45011735807279113,0.11780939803098547,-0.26809268194408714,0.8435885392685074
1701966646166104320,0,1701966646164954589,trakstar_base,trakstar0,-0.2649884765625,-0.00803671875,0.07043291015625,-0.3616748727312963,-0.09691861253751242,0.4856916363813122,0.7898744858063511,0,1701966646164954589,trakstar_base,trakstar1,-0.30014912109374997,-0.07043291015625,0.06953994140625,0.5015281208711881,0.20400523125018388,0.443781577255786,0.714079352233588,0,1701966646164954589,trakstar_base,trakstar2,-0.0564802734375,0.20091796875,0.0363884765625,-0.45011735807279113,0.11780939803098547,-0.26809268194408714,0.8435885392685074
1701966646178711019,0,1701966646177454878,trakstar_base,trakstar0,-0.26342578125,-0.00792509765625,0.07054453125,-0.3629121350789544,-0.0966789138858163,0.4837607774362248,0.7905210180865484,0,1701966646177454878,trakstar_base,trakstar1,-0.298698046875,-0.070098046875,0.0694283203125,0.5021496266343345,0.2012016981992179,0.4435471902656302,0.7145834584708872,0,1701966646177454878,trakstar_base,trakstar2,-0.0564802734375,0.20091796875,0.0363884765625,-0.45011088107256375,0.11792978332413795,-0.2680888242026987,0.8435764003828087
1701966646191228889,0,1701966646189954229,trakstar_base,trakstar0,-0.26163984375,-0.0078134765625,0.07054453125,-0.364013267770806,-0.09619129946458589,0.4824213394467556,0.7908926766891523,0,1701966646189954229,trakstar_base,trakstar1,-0.2971353515625,-0.06998642578125,0.06931669921875,0.5028681930882666,0.1989985809016447,0.44316861881777314,0.7149298710184242,0,1701966646189954229,trakstar_base,trakstar2,-0.0564802734375,0.20091796875,0.0363884765625,-0.45011088107256375,0.11792978332413795,-0.2680888242026987,0.8435764003828087
1701966646203580536,0,1701966646202448998,trakstar_base,trakstar0,-0.25985390625,-0.00770185546875,0.07054453125,-0.3649848854541103,-0.09533551690289635,0.48107205136275877,0.7913702382605342,0,1701966646202448998,trakstar_base,trakstar1,-0.29546103515625,-0.06976318359375,0.069205078125,0.5038553983901785,0.19717142437609358,0.4424453510457976,0.7151889808019541,0,1701966646202448998,trakstar_base,trakstar2,-0.0564802734375,0.20091796875,0.0363884765625,-0.45011088107256375,0.11792978332413795,-0.2680888242026987,0.8435764003828087
1701966646216248157,0,1701966646214942362,trakstar_base,trakstar0,-0.2578447265625,-0.007590234375,0.07054453125,-0.3656025444636759,-0.09448292801832561,0.47973889807754466,0.7919964302104606,0,1701966646214942362,trakstar_base,trakstar1,-0.29367509765625,-0.06953994140625,0.06909345703125,0.5050572510145751,0.19569900250818556,0.4415741060961368,0.7152841270714033,0,1701966646214942362,trakstar_base,trakstar2,-0.0564802734375,0.20091796875,0.0363884765625,-0.45011088107256375,0.11792978332413795,-0.2680888242026987,0.8435764003828087
1701966646228678524,0,1701966646227453620,trakstar_base,trakstar0,-0.25572392578124997,-0.0073669921875,0.07043291015625,-0.3658555183064904,-0.09375276545191347,0.4780414446740795,0.7929921411141013,0,1701966646227453620,trakstar_base,trakstar1,-0.29188916015625,-0.06931669921875,0.0689818359375,0.5065387918450525,0.1941182644091668,0.4407339210799323,0.7151854043452198,0,1701966646227453620,trakstar_base,trakstar2,-0.0564802734375,0.20091796875,0.0363884765625,-0.45011088107256375,0.11792978332413795,-0.2680888242026987,0.8435764003828087
1701966646241257613,0,1701966646239949126,trakstar_base,trakstar0,-0.25349150390624997,-0.00725537109375,0.07043291015625,-0.3657262231257603,-0.09362884283626774,0.47595679037628147,0.794319270320201,0,1701966646239949126,trakstar_base,trakstar1,-0.28987998046875,-0.0689818359375,0.06887021484375,0.5081150467795762,0.19228284446848445,0.43974781319078166,0.715170097077068,0,1701966646239949126,trakstar_base,trakstar2,-0.0564802734375,0.20091796875,0.0363884765625,-0.450013526017508,0.11793626319395353,-0.2681035548384285,0.8436227522466034
1701966646253422247,0,1701966646252454227,trakstar_base,trakstar0,-0.2511474609375,-0.00703212890625,0.07054453125,-0.36513286644153015,-0.09399943402205893,0.4734153313474604,0.7960653366985015,0,1701966646252454227,trakstar_base,trakstar1,-0.28787080078125,-0.06875859375,0.06875859375,0.5095937610058663,0.1902125250711882,0.4389050241533515,0.7151893272573946,0,1701966646252454227,trakstar_base,trakstar2,-0.0564802734375,0.20091796875,0.03650009765625,-0.450013526017508,0.11793626319395353,-0.2681035548384285,0.8436227522466034
1701966646265917516,0,1701966646264948897,trakstar_base,trakstar0,-0.248691796875,-0.00680888671875,0.07065615234375,-0.36425934316740327,-0.0949711022065147,0.4704609613160765,0.7980990568460063,0,1701966646264948897,trakstar_base,trakstar1,-0.28575,-0.068312109375,0.0685353515625,0.5110477179750987,0.18788878116666907,0.4380409011215131,0.7152958861959156,0,1701966646264948897,trakstar_base,trakstar2,-0.0564802734375,0.20091796875,0.03650009765625,-0.450013526017508,0.11793626319395353,-0.2681035548384285,0.8436227522466034
1701966646278501426,0,1701966646277448670,trakstar_base,trakstar0,-0.24612451171875,-0.0064740234374999995,0.0707677734375,-0.36302043249776095,-0.09630905219930512,0.4672636905183017,0.8003782703052519,0,1701966646277448670,trakstar_base,trakstar1,-0.283517578125,-0.06775400390625,0.06820048828125,0.512391599730151,0.18544742434836772,0.4373091994837744,0.7154192934044996,0,1701966646277448670,trakstar_base,trakstar2,-0.0564802734375,0.20091796875,0.03650009765625,-0.450013526017508,0.11793626319395353,-0.2681035548384285,0.8436227522466034
1701966646290993902,0,1701966646289949068,trakstar_base,trakstar0,-0.24366884765625,-0.00613916015625,0.07087939453125,-0.36168495020019636,-0.09777578302745776,0.46397721758722454,0.8027135445550089,0,1701966646289949068,trakstar_base,trakstar1,-0.28128515625,-0.0671958984375,0.06797724609375,0.5135909953353609,0.18324223532169642,0.4366805301437095,0.7155114864893156,0,1701966646289949068,trakstar_base,trakstar2,-0.0564802734375,0.20091796875,0.03650009765625,-0.450013526017508,0.11793626319395353,-0.2681035548384285,0.8436227522466034
1701966646303373689,0,1701966646302449808,trakstar_base,trakstar0,-0.24098994140625,-0.0055810546875,0.070991015625,-0.36010068502752435,-0.09948544349065501,0.4608068088064082,0.8050386500869569,0,1701966646302449808,trakstar_base,trakstar1,-0.27894111328125,-0.066526171875,0.0676423828125,0.514926160094556,0.1812862370176424,0.4359415167609435,0.7155007644177794,0,1701966646302449808,trakstar_base,trakstar2,-0.0564802734375,0.20091796875,0.03650009765625,-0.450013526017508,0.11793626319395353,-0.2681035548384285,0.8436227522466034
1701966646315807988,0,1701966646314939732,trakstar_base,trakstar0,-0.23842265625,-0.004911328125,0.070991015625,-0.35840221333056077,-0.10107528359594832,0.4578905661454133,0.8072594811835825,0,1701966646314939732,trakstar_base,trakstar1,-0.27659707031249997,-0.065633203125,0.0671958984375,0.5164152044133031,0.179585523804248,0.43522936258473427,0.7152899959001287,0,1701966646314939732,trakstar_base,trakstar2,-0.0564802734375,0.20091796875,0.03650009765625,-0.450013526017508,0.11793626319395353,-0.2681035548384285,0.8436227522466034
1701966646328297079,0,1701966646327440339,trakstar_base,trakstar0,-0.23585537109375,-0.00412998046875,0.07110263671875,-0.3568189513871605,-0.10254119711433966,0.45533174432915113,0.8092209472273304,0,1701966646327440339,trakstar_base,trakstar1,-0.27425302734375,-0.064740234375,0.06697265625,0.5180022227127362,0.1782425748669797,0.4344967972271101,0.714923642754132,0,1701966646327440339,trakstar_base,trakstar2,-0.0564802734375,0.20091796875,0.03650009765625,-0.450013526017508,0.11793626319395353,-0.2681035548384285,0.8436227522466034
1701966646341006303,0,1701966646339953232,trakstar_base,trakstar0,-0.23317646484375,-0.003125390625,0.07110263671875,-0.35509337728841495,-0.10375708858547705,0.45299124204788854,0.8111362984123469,0,1701966646339953232,trakstar_base,trakstar1,-0.27179736328125,-0.0636240234375,0.06663779296875,0.5196920495746442,0.17701514491032042,0.43362606532514353,0.7145307883862795,0,1701966646339953232,trakstar_base,trakstar2,-0.0564802734375,0.20091796875,0.03650009765625,-0.450013526017508,0.11793626319395353,-0.2681035548384285,0.8436227522466034
1701966646353161542,0,1701966646352449389,trakstar_base,trakstar0,-0.2306091796875,-0.00212080078125,0.07110263671875,-0.35352520487153044,-0.10486123998088558,0.4508178803834813,0.8128882386876801,0,1701966646352449389,trakstar_base,trakstar1,-0.26934169921875,-0.0625078125,0.06641455078125,0.5214132606276257,0.1759205124243523,0.4327815520779521,0.7140590403678255,0,1701966646352449389,trakstar_base,trakstar2,-0.0564802734375,0.20091796875,0.03650009765625,-0.45002000232847916,0.11781587147232296,-0.2681074132157733,0.8436348931334213
1701966646365839457,0,1701966646364950021,trakstar_base,trakstar0,-0.22804189453125,-0.00089296875,0.07110263671875,-0.35218341320375923,-0.10583813492119908,0.4489880740947752,0.8143554764236666,0,1701966646364950021,trakstar_base,trakstar1,-0.26688603515625,-0.06105673828125,0.06619130859375,0.5229976327967036,0.17482087072009325,0.4319247490277165,0.7136891132888723,0,1701966646364950021,trakstar_base,trakstar2,-0.0564802734375,0.20091796875,0.03650009765625,-0.45002000232847916,0.11781587147232296,-0.2681074132157733,0.8436348931334213
1701966646378974774,0,1701966646377453061,trakstar_base,trakstar0,-0.225474609375,0.00033486328125,0.07110263671875,-0.3511993400768137,-0.10669037998857672,0.447147439242742,0.8156809142833747,0,1701966646377453061,trakstar_base,trakstar1,-0.26443037109375,-0.0596056640625,0.0660796875,0.5243638434395074,0.17385194716131747,0.43121143074000934,0.7133545837525126,0,1701966646377453061,trakstar_base,trakstar2,-0.0564802734375,0.20091796875,0.03650009765625,-0.45002000232847916,0.11781587147232296,-0.2681074132157733,0.8436348931334213
1701966646391099976,0,1701966646389969774,trakstar_base,trakstar0,-0.22290732421875,0.0017859375,0.07110263671875,-0.35048775912676494,-0.10779543410272847,0.44534285799179324,0.8168281422212414,0,1701966646389969774,trakstar_base,trakstar1,-0.262086328125,-0.05815458984375,0.0658564453125,0.5253511541056369,0.1730008332251191,0.4307317851928159,0.7131248178319836,0,1701966646389969774,trakstar_base,trakstar2,-0.0564802734375,0.20091796875,0.03650009765625,-0.450013526017508,0.11793626319395353,-0.2681035548384285,0.8436227522466034
1701966646403653395,0,1701966646402453914,trakstar_base,trakstar0,-0.22045166015625,0.0033486328125,0.0712142578125,-0.35009230908935646,-0.1088850556860899,0.4437188087656243,0.8177365336783816,0,1701966646402453914,trakstar_base,trakstar1,-0.25974228515625,-0.0564802734375,0.06574482421875,0.5260416488738865,0.17213244950387097,0.4303311237596774,0.7130678280511421,0,1701966646402453914,trakstar_base,trakstar2,-0.0564802734375,0.20091796875,0.03650009765625,-0.450013526017508,0.11793626319395353,-0.2681035548384285,0.8436227522466034
1701966646416116580,0,1701966646414942238,trakstar_base,trakstar0,-0.21799599609375,0.0050229492187499995,0.0712142578125,-0.34995110909549954,-0.11022178287870112,0.4422298110404586,0.8184242017737443,0,1701966646414942238,trakstar_base,trakstar1,-0.2573982421875,-0.05480595703125,0.065633203125,0.5265051844967955,0.1715139773285411,0.4300667203761212,0.7130342644669099,0,1701966646414942238,trakstar_base,trakstar2,-0.0564802734375,0.20091796875,0.03650009765625,-0.450013526017508,0.11793626319395353,-0.2681035548384285,0.8436227522466034
1701966646428533404,0,1701966646427452534,trakstar_base,trakstar0,-0.215651953125,0.006697265625,0.07132587890625,-0.34987353872919014,-0.11170072851961232,0.44082112643095095,0.819016598511562,0,1701966646427452534,trakstar_base,trakstar1,-0.25505419921875,-0.053131640625,0.06552158203125,0.5268085956021652,0.17104492292899967,0.4297488427623689,0.7131144859588058,0,1701966646427452534,trakstar_base,trakstar2,-0.0564802734375,0.20091796875,0.03650009765625,-0.450013526017508,0.11793626319395353,-0.2681035548384285,0.8436227522466034
1701966646441177769,0,1701966646439953985,trakstar_base,trakstar0,-0.21341953125,0.00837158203125,0.0714375,-0.34997592230823393,-0.11303721801793672,0.4395756177997734,0.8194587954151288,0,1701966646439953985,trakstar_base,trakstar1,-0.25282177734375,-0.051345703125,0.06552158203125,0.5270273432406966,0.17067042526071202,0.42948394568468157,0.7132021633569954,0,1701966646439953985,trakstar_base,trakstar2,-0.0564802734375,0.20091796875,0.03650009765625,-0.450013526017508,0.11793626319395353,-0.2681035548384285,0.8436227522466034
1701966646453413434,0,1701966646452453378,trakstar_base,trakstar0,-0.21107548828125,0.010157519531249999,0.07154912109375,-0.350079500375597,-0.11425188715186843,0.438575887325495,0.8197817031110561,0,1701966646452453378,trakstar_base,trakstar1,-0.25058935546875,-0.049559765625,0.06552158203125,0.5271634654368687,0.17055288587663398,0.42912912946053583,0.7133432442213117,0,1701966646452453378,trakstar_base,trakstar2,-0.0564802734375,0.20091796875,0.03650009765625,-0.450013526017508,0.11793626319395353,-0.2681035548384285,0.8436227522466034
